hhid,zone,state,lga,sector,ea,year,crop_code,crop_code_text,field_size,quant_harv_kg,value_harvest,value_harvest_hh,ha_planted,ha_harvest,number_trees_planted,percent_field,percent_inputs,ha_harv_yld,ha_plan_yld,sales_value,kgs_sold,land_size,farm_area,farm_size_agland,n_kg,p_kg,k_kg,n_org_kg,npk_kg,urea_kg,inorg_fert_kg,org_fert_kg,pest_kg,herb_kg,all_use_inorg_fert,use_pest,use_herb,annual_selfemp_profit,annual_salary,annual_salary_agwage,labor_family,labor_hired,labor_nonhired,total_labor_day,wave,plot_id_x,plot_id_y,t2m,rh2m,prectotcorr,year_former,actor1,conflict_event,total_fatalities,total_combined_fatalities,total_number_conflict_event,military_presence
50060,north east,bauchi,kirfi,rural,348.0,2019,1070,guinea corn (sorghum),0.09851700067520142,400.0,56000.0,56000.0,0.09851700067520142,0.09851700067520142,0.0,1.0,1.0,0.09851700067520142,0.09851700067520142,0.0,0.0,0.5297139892354608,0.5247139893472195,0.5247139893472195,50.5,3.0,2.75,0.0,25.0,100.0,125.0,0.0,0.0,3.0,1.0,0.0,1.0,48000.0,0.0,0.0,25.0,8.0,0.0,33.0,1,,,26.317173579109063,55.02611322324629,85.75916666666667,,,0.0,0.0,0.0,0.0,0.0
50091,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),5.095930129289627,900.0,126000.0,126000.0,1.4623577445745468,0.6908830553293228,0.0,1.5309296250343323,1.5309296250343323,0.6908830553293228,1.4623577445745468,0.0,0.0,5.295930132269859,5.095930129289627,5.095930129289627,165.0,18.0,16.5,20.0,150.0,300.0,450.0,2000.0,0.0,12.0,1.0,0.0,1.0,32400.0,0.0,0.0,50.0,5.0,0.0,55.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50092,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),4.291869968175888,1100.0,154000.0,154000.0,1.9119830578565598,1.9119830578565598,0.0,1.8605769276618958,1.8605769276618958,1.9119830578565598,1.9119830578565598,0.0,0.0,4.411869965493679,4.291869968175888,4.291869968175888,27.0,18.0,16.5,1.0,150.0,0.0,150.0,100.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,172.0,60.0,0.0,232.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50093,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),3.0842100381851196,500.0,70000.0,70000.0,0.8157533407211304,0.8157533407211304,0.0,0.5833333432674408,0.5833333432674408,0.8157533407211304,0.8157533407211304,0.0,0.0,3.1842100396752357,3.0842100381851196,3.0842100381851196,23.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,1.0,0.0,1.0,1.0,0.0,384000.0,0.0,0.0,79.0,10.0,9.0,98.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50094,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),3.999899983406067,1133.060001373291,158628.400390625,154000.0,1.8701334595680237,1.8701334595680237,0.0,0.8759398460388184,0.8759398460388184,1.8701334595680237,1.8701334595680237,0.0,0.0,4.64435999840498,4.524360001087189,4.524360001087189,27.0,18.0,16.5,40.0,150.0,0.0,150.0,4000.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,98.0,12.0,10.0,120.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50095,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),0.9101899862289429,400.0,56000.0,56000.0,0.6713849902153015,0.6713849902153015,0.0,1.5,1.5,0.6713849902153015,0.6713849902153015,0.0,0.0,1.791740007698536,1.6917400062084198,1.6917400062084198,69.0,0.0,0.0,0.0,0.0,150.0,150.0,0.0,1.0,3.0,1.0,1.0,1.0,68400.0,0.0,0.0,56.0,0.0,0.0,56.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50097,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),3.2873099744319916,250.0,35000.0,35000.0,1.6895933151245117,0.7766133397817612,0.0,2.333333343267441,2.333333343267441,0.7766133397817612,1.6895933151245117,7000.0,100.0,5.282979942858219,5.182979941368103,5.182979941368103,27.5,3.0,2.75,10.0,25.0,50.0,75.0,1000.0,2.0,5.0,1.0,1.0,1.0,29400.0,0.0,0.0,14.0,8.0,0.0,22.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50099,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),3.100600004196167,400.0,56000.0,56000.0,3.100600004196167,3.100600004196167,0.0,1.0,1.0,3.100600004196167,3.100600004196167,0.0,0.0,9.384759947657585,8.384759947657585,8.384759947657585,0.0,0.0,0.0,49.0,0.0,0.0,0.0,4900.0,0.0,7.0,0.0,0.0,1.0,26200.0,0.0,0.0,116.0,0.0,8.0,124.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50100,north east,bauchi,giade,rural,984.0,2019,1070,guinea corn (sorghum),2.132010042667389,900.0,126000.0,126000.0,0.9183333516120911,0.9183333516120911,0.0,1.3333333432674408,1.3333333432674408,0.9183333516120911,0.9183333516120911,0.0,0.0,4.249070040881634,2.2490700408816338,2.2490700408816338,27.0,18.0,16.5,6.0,150.0,0.0,150.0,600.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,101.0,21.0,4.0,126.0,1,,,27.38865220174091,44.14156266001024,48.80666666666667,,,0.0,0.0,0.0,0.0,0.0
50131,north east,bauchi,asari toro,rural,1588.0,2019,1070,guinea corn (sorghum),1.5377000570297241,800.0,112000.0,104000.0,0.7688500285148621,0.7688500285148621,0.0,0.5,0.5,0.7688500285148621,0.7688500285148621,13000.0,200.0,1.9770870432257652,1.9145870432257652,1.9145870432257652,18.36,3.96,3.63,90.0,33.0,27.0,60.0,9000.0,0.0,10.0,1.0,0.0,1.0,300000.0,0.0,0.0,51.0,0.0,5.0,56.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50132,north east,bauchi,asari toro,rural,1588.0,2019,1070,guinea corn (sorghum),0.4702399969100952,700.0,98000.0,91000.0,0.4702399969100952,0.4702399969100952,0.0,1.0,1.0,0.4702399969100952,0.4702399969100952,6500.0,100.0,2.7207199931144714,2.4707199931144714,2.4707199931144714,322.0,0.0,0.0,0.0,0.0,700.0,700.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,4.0,8.0,40.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50134,north east,bauchi,asari toro,rural,1588.0,2019,1070,guinea corn (sorghum),2.098005950450897,1600.0,224000.0,320000.0,1.2770059704780579,1.2770059704780579,0.0,1.5,1.5,1.2770059704780579,1.2770059704780579,40000.0,400.0,7.711214929819107,4.111214905977249,7.711214929819107,184.0,0.0,0.0,0.0,0.0,400.0,400.0,0.0,0.0,21.0,1.0,0.0,1.0,225600.0,0.0,0.0,29.0,32.0,63.0,124.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50135,north east,bauchi,asari toro,rural,1588.0,2019,1070,guinea corn (sorghum),1.6640000343322754,1700.0,238000.0,238000.0,0.8320000171661377,0.8320000171661377,0.0,0.5,0.5,0.8320000171661377,0.8320000171661377,0.0,0.0,4.293718047440052,2.173718050122261,4.173718050122261,92.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,6.0,1.0,0.0,1.0,96000.0,0.0,0.0,36.0,38.0,0.0,74.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50136,north east,bauchi,asari toro,rural,1588.0,2019,1070,guinea corn (sorghum),0.8853200078010559,500.0,70000.0,70000.0,0.8853200078010559,0.8853200078010559,0.0,1.0,1.0,0.8853200078010559,0.8853200078010559,0.0,0.0,4.452280059456825,4.372280061244965,4.372280061244965,96.0,18.0,16.5,0.0,150.0,150.0,300.0,0.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,64.0,12.0,0.0,76.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50138,north east,bauchi,asari toro,rural,1588.0,2019,1070,guinea corn (sorghum),2.0352001190185547,800.0,112000.0,112000.0,0.6784000396728516,0.6784000396728516,0.0,0.3333333432674408,0.3333333432674408,0.6784000396728516,0.6784000396728516,0.0,0.0,2.8084800988435745,2.7459800988435745,2.7459800988435745,87.0,12.0,11.0,0.0,100.0,150.0,250.0,0.0,0.0,12.0,1.0,0.0,1.0,420000.0,0.0,0.0,55.0,227.0,0.0,282.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
